"last_name, first_name","2016","2017","+/-","2018","+/-","2019","+/-","2020","+/-","2021","+/-","2022","+/-","2023","+/-","2024","+/-"
"Buxton, Byron",0.252,0.298,0.046,0.196,-0.102,0.305,0.109,0.335,0.03,0.407,0.072,0.358,-0.049,0.316,-0.042,0.353,0.037
"Ward, Taylor",,,,0.277,,0.269,-0.008,0.309,0.04,0.344,0.035,0.361,0.017,0.338,-0.023,0.344,0.006
"Olson, Matt",0.309,0.392,0.083,0.357,-0.035,0.388,0.031,0.34,-0.048,0.378,0.038,0.347,-0.031,0.392,0.045,0.341,-0.051
"Santander, Anthony",,0.245,,0.266,0.021,0.319,0.053,0.358,0.039,0.328,-0.03,0.352,0.024,0.319,-0.033,0.324,0.005
"Alonso, Pete",,,,,,0.38,,0.334,-0.046,0.377,0.043,0.353,-0.024,0.368,0.015,0.343,-0.025
"Conforto, Michael",0.322,0.377,0.055,0.34,-0.037,0.371,0.031,0.374,0.003,,-0.024,,,0.33,,0.35,0.02
"Soler, Jorge",0.327,0.266,-0.061,0.349,0.083,0.396,0.047,0.354,-0.042,0.359,0.005,0.322,-0.037,0.374,0.052,0.346,-0.028
"Cronenworth, Jake",,,,,,,,0.393,,0.344,-0.049,0.303,-0.041,0.305,0.002,0.335,0.03
"Bellinger, Cody",,0.365,,0.327,-0.038,0.43,0.103,0.374,-0.056,0.281,-0.093,0.278,-0.003,0.327,0.049,0.301,-0.026
"Crawford, J.P.",,0.291,,0.294,0.003,0.292,-0.002,0.318,0.026,0.298,-0.02,0.315,0.017,0.34,0.025,0.309,-0.031
"Fraley, Jake",,,,,,0.152,,0.203,0.051,0.335,0.132,0.333,-0.002,0.328,-0.005,0.285,-0.043
"Garver, Mitch",,0.251,,0.309,0.058,0.382,0.073,0.24,-0.142,0.386,0.146,0.319,-0.067,0.365,0.046,0.285,-0.08
"Heim, Jonah",,,,,,,,0.299,,0.285,-0.014,0.291,0.006,0.324,0.033,0.277,-0.047
"McMahon, Ryan",,0.262,,0.274,0.012,0.325,0.051,0.296,-0.029,0.325,0.029,0.33,0.005,0.335,0.005,0.325,-0.01
"Tellez, Rowdy",,,,0.309,,0.335,0.026,0.368,0.033,0.34,-0.028,0.349,0.009,0.306,-0.043,0.302,-0.004
"Siri, Jose",,,,,,,,,,0.378,,0.261,-0.117,0.298,0.037,0.297,-0.001
"Rosario, Amed",,0.239,,0.289,0.05,0.317,0.028,0.261,-0.056,0.3,0.039,0.31,0.01,0.305,-0.005,0.28,-0.025
"Adames, Willy",,,,0.285,,0.32,0.035,0.307,-0.013,0.325,0.018,0.323,-0.002,0.335,0.012,0.339,0.004
"Estrada, Thairo",,,,,,0.301,,0.25,-0.051,0.313,0.063,0.299,-0.014,0.292,-0.007,0.263,-0.029
"Benintendi, Andrew",0.291,0.338,0.047,0.353,0.015,0.338,-0.015,0.278,-0.06,0.331,0.053,0.334,0.003,0.31,-0.024,0.303,-0.007
"Dubón, Mauricio",,,,,,0.277,,0.319,0.042,0.273,-0.046,0.272,-0.001,0.303,0.031,0.272,-0.031
"Kiner-Falefa, Isiah",,,,0.288,,0.263,-0.025,0.294,0.031,0.292,-0.002,0.29,-0.002,0.295,0.005,0.283,-0.012
"McNeil, Jeff",,,,0.329,,0.35,0.021,0.337,-0.013,0.315,-0.022,0.323,0.008,0.294,-0.029,0.288,-0.006
"Tauchman, Mike",,0.247,,0.195,-0.052,0.322,0.127,0.3,-0.022,,-0.024,,,0.345,,0.33,-0.015
"Albies, Ozzie",,0.339,,0.301,-0.038,0.346,0.045,0.294,-0.052,0.329,0.035,0.294,-0.035,0.34,0.046,0.302,-0.038
"Devers, Rafael",,0.299,,0.303,0.004,0.367,0.064,0.328,-0.039,0.394,0.066,0.361,-0.033,0.38,0.019,0.364,-0.016
"Naylor, Josh",,,,,,0.298,,0.309,0.011,0.311,0.002,0.327,0.016,0.346,0.019,0.335,-0.011
"Arraez, Luis",,,,,,0.334,,0.357,0.023,0.337,-0.02,0.333,-0.004,0.354,0.021,0.325,-0.029
"Jiménez, Eloy",,,,,,0.347,,0.364,0.017,0.325,-0.039,0.365,0.04,0.314,-0.051,0.3,-0.014
"Torres, Gleyber",,,,0.338,,0.34,0.002,0.335,-0.005,0.331,-0.004,0.319,-0.012,0.362,0.043,0.307,-0.055
"Castro, Willi",,,,,,0.242,,0.364,0.122,0.286,-0.078,0.286,0,0.301,0.015,0.32,0.019
"Díaz, Yandy",,0.332,,0.359,0.027,0.355,-0.004,0.327,-0.028,0.332,0.005,0.365,0.033,0.383,0.018,0.336,-0.047
"De La Cruz, Bryan",,,,,,,,,,0.301,,0.355,0.054,0.331,-0.024,0.302,-0.029
